uuid,title,body/value,field_framework,field_course,field_code,field_number
bi-BI_023f47cc,BI2: Legitimacy and Stability LEG § How does the perceived legitimacy of a government by its citizenry impact how other countries see it?,<p><strong>Legitimacy and Stability LEG § How does the perceived legitimacy of a government by its citizenry impact how other countries see it?</strong></p><p></p>,AP,Comparative Government And Politics,BI2,2
bi-BI_b8c47ace,BI5: Methods of Political,<p><strong>Methods of Political</strong></p><p></p>,AP,Comparative Government And Politics,BI5,5
bi-BI_01542485,BI1: Power and Authority  PAU §§ How does a political system affect the daily life of citizens?,<p><strong>Power and Authority  PAU §§ How does a political system affect the daily life of citizens?</strong></p><p></p>,AP,Comparative Government And Politics,BI1,1
bi-BI_248dbcef,BI2: Legitimacy and Stability  LEG §§ How does the perceived legitimacy of a government by its citizenry impact how other countries see it?,<p><strong>Legitimacy and Stability  LEG §§ How does the perceived legitimacy of a government by its citizenry impact how other countries see it?</strong></p><p></p>,AP,Comparative Government And Politics,BI2,2
bi-BI_b8c47ace,BI5: Methods of Political,<p><strong>Methods of Political</strong></p><p></p>,AP,Comparative Government And Politics,BI5,5
bi-BI_770caeae,BI1: Power and Authority  PAU §§ What are the implications of cooperation and conflict within a country’s political system?,<p><strong>Power and Authority  PAU §§ What are the implications of cooperation and conflict within a country’s political system?</strong></p><p></p>,AP,Comparative Government And Politics,BI1,1
bi-BI_7346887d,BI2: Legitimacy and Stability  LEG §§ What changes might a government face in response to a controversial cleavage?,<p><strong>Legitimacy and Stability  LEG §§ What changes might a government face in response to a controversial cleavage?</strong></p><p></p>,AP,Comparative Government And Politics,BI2,2
bi-BI_dac3cace,BI3: Democratization  DEM §§ Why might a country discourage participation?,<p><strong>Democratization  DEM §§ Why might a country discourage participation?</strong></p><p></p>,AP,Comparative Government And Politics,BI3,3
bi-BI_2cf14c32,BI4: Internal/External,<p><strong>Internal/External</strong></p><p></p>,AP,Comparative Government And Politics,BI4,4
bi-BI_b4cc0735,BI1: Power and Authority  PAU §§ How do different electoral systems encourage or discourage citizen influence?,<p><strong>Power and Authority  PAU §§ How do different electoral systems encourage or discourage citizen influence?</strong></p><p></p>,AP,Comparative Government And Politics,BI1,1
bi-BI_0002c32b,BI3: Democratization  DEM §§ Why are election rules different for different regimes?,<p><strong>Democratization  DEM §§ Why are election rules different for different regimes?</strong></p><p></p>,AP,Comparative Government And Politics,BI3,3
bi-BI_2cf14c32,BI4: Internal/External,<p><strong>Internal/External</strong></p><p></p>,AP,Comparative Government And Politics,BI4,4
bi-BI_7d49d7e1,BI2: Legitimacy and Stability  LEG §§ How do nongovern­ mental groups impact regimes?,<p><strong>Legitimacy and Stability  LEG §§ How do nongovern­ mental groups impact regimes?</strong></p><p></p>,AP,Comparative Government And Politics,BI2,2
bi-BI_2cf14c32,BI4: Internal/External,<p><strong>Internal/External</strong></p><p></p>,AP,Comparative Government And Politics,BI4,4
bi-BI_18db9637,CHA: CHANGE,<p><strong>CHANGE</strong></p><p>Using derivatives to describe rates of change of one variable with respect to another or using definite integrals to describe the net change in one variable over an interval of another allows students to understand change in a variety of contexts. It is critical that students grasp the relationship</p>,AP,Calculus Ab And Bc,CHA,1
bi-BI_c22d2202,LIM: LIMITS,"<p><strong>LIMITS</strong></p><p>Beginning with a discrete model and then considering the consequences of a limiting case allows us to model real-world behavior and to discover and understand important ideas, definitions, formulas, and theorems in calculus: for example, continuity, differentiation, integration, and series bc only.</p>",AP,Calculus Ab And Bc,LIM,2
bi-BI_5317892d,FUN: ANALYSIS OF FUNCTIONS,"<p><strong>ANALYSIS OF FUNCTIONS</strong></p><p>Calculus allows us to analyze the behaviors of functions by relating limits to differentiation, integration, and infinite series and relating each of these concepts to the others. Course Framework V.1 | 15</p>",AP,Calculus Ab And Bc,FUN,3
bi-BI_ebb241ce,BI1: Change CHA § Can change occur at an instant?,<p><strong>Change CHA § Can change occur at an instant?</strong></p><p></p>,AP,Calculus Ab And Bc,BI1,1
bi-BI_ef643d19,"BI2: Limits LIM § How does knowing the value of a limit, or that a limit does not exist, help you to make sense of interesting features of functions and their graphs?","<p><strong>Limits LIM § How does knowing the value of a limit, or that a limit does not exist, help you to make sense of interesting features of functions and their graphs?</strong></p><p></p>",AP,Calculus Ab And Bc,BI2,2
bi-BI_4a04b9e6,BI3: Analysis of Functions FUN § How do we close loopholes so that a conclusion about a function is always true?,<p><strong>Analysis of Functions FUN § How do we close loopholes so that a conclusion about a function is always true?</strong></p><p></p>,AP,Calculus Ab And Bc,BI3,3
bi-BI_8b67a066,BI1: Change  CHA §§ Can change occur at an instant?,<p><strong>Change  CHA §§ Can change occur at an instant?</strong></p><p></p>,AP,Calculus Ab And Bc,BI1,1
bi-BI_0066f173,"BI2: Limits  LIM §§ How does knowing the value of a limit, or that a limit does not exist, help you to make sense of interesting features of functions and their graphs?","<p><strong>Limits  LIM §§ How does knowing the value of a limit, or that a limit does not exist, help you to make sense of interesting features of functions and their graphs?</strong></p><p></p>",AP,Calculus Ab And Bc,BI2,2
bi-BI_14c82878,BI3: Analysis of Functions  FUN §§ How do we close loopholes so that a conclusion about a function is always true?,<p><strong>Analysis of Functions  FUN §§ How do we close loopholes so that a conclusion about a function is always true?</strong></p><p></p>,AP,Calculus Ab And Bc,BI3,3
bi-BI_f9e7ab69,BI1: Change  CHA §§ How can a state determine the rate of change in high school graduates at a particular level of public investment in education,<p><strong>Change  CHA §§ How can a state determine the rate of change in high school graduates at a particular level of public investment in education</strong></p><p></p>,AP,Calculus Ab And Bc,BI1,1
bi-BI_a250652e,BI2: Limits  LIM §§ Why do mathematical properties and rules for simplifying and evaluating limits apply to differentiation?,<p><strong>Limits  LIM §§ Why do mathematical properties and rules for simplifying and evaluating limits apply to differentiation?</strong></p><p></p>,AP,Calculus Ab And Bc,BI2,2
bi-BI_c73e4435,BI3: Analysis of Functions  FUN §§ If you knew that the rate of change in high school graduates at a particular level of public investment in education,<p><strong>Analysis of Functions  FUN §§ If you knew that the rate of change in high school graduates at a particular level of public investment in education</strong></p><p></p>,AP,Calculus Ab And Bc,BI3,3
bi-BI_fc9e92c1,"BI3: Analysis of Functions  FUN §§ If pressure experienced by a diver is a function of depth and depth is a function of time, how might we find the rate of change in pressure with respect to time?","<p><strong>Analysis of Functions  FUN §§ If pressure experienced by a diver is a function of depth and depth is a function of time, how might we find the rate of change in pressure with respect to time?</strong></p><p></p>",AP,Calculus Ab And Bc,BI3,3
bi-BI_0aa3eadc,"BI1: Change  CHA §§ How are problems about position, velocity, and acceleration of a particle in motion over time structurally similar to problems about the volume of a rising balloon over an interval of heights, the population of London over the 14th century, or the metabolism of a dose of medicine over time?","<p><strong>Change  CHA §§ How are problems about position, velocity, and acceleration of a particle in motion over time structurally similar to problems about the volume of a rising balloon over an interval of heights, the population of London over the 14th century, or the metabolism of a dose of medicine over time?</strong></p><p></p>",AP,Calculus Ab And Bc,BI1,1
bi-BI_be3762c0,"BI2: Limits  LIM §§ Since certain indeterminate forms seem to actually approach a limit, how can we determine that limit, provided it exists?","<p><strong>Limits  LIM §§ Since certain indeterminate forms seem to actually approach a limit, how can we determine that limit, provided it exists?</strong></p><p></p>",AP,Calculus Ab And Bc,BI2,2
bi-BI_f1ccde7c,BI3: Analysis of Functions  FUN §§ How might the Mean,<p><strong>Analysis of Functions  FUN §§ How might the Mean</strong></p><p></p>,AP,Calculus Ab And Bc,BI3,3
bi-BI_af4dd275,"BI1: Change  CHA §§ Given information about a rate of population growth over time, how can we determine how much the population changed over a given interval of time?","<p><strong>Change  CHA §§ Given information about a rate of population growth over time, how can we determine how much the population changed over a given interval of time?</strong></p><p></p>",AP,Calculus Ab And Bc,BI1,1
bi-BI_d7ae168b,"BI2: Limits  LIM §§ If compounding more often increases the amount in an account with a given rate of return and term, why doesn’t compounding continuously result in an infinite account balance, all other things being equal?","<p><strong>Limits  LIM §§ If compounding more often increases the amount in an account with a given rate of return and term, why doesn’t compounding continuously result in an infinite account balance, all other things being equal?</strong></p><p></p>",AP,Calculus Ab And Bc,BI2,2
bi-BI_a9ec6a2c,BI3: Analysis of Functions  FUN §§ How is integrating to find areas related to differentiating to find slopes?,<p><strong>Analysis of Functions  FUN §§ How is integrating to find areas related to differentiating to find slopes?</strong></p><p></p>,AP,Calculus Ab And Bc,BI3,3
bi-BI_e18d65fd,"BI3: Analysis of Functions  FUN §§ How can we derive a model for the number of computers, C, infected by a virus, given a model for how fast the computers are being infected, dC dt , at a particular time?","<p><strong>Analysis of Functions  FUN §§ How can we derive a model for the number of computers, C, infected by a virus, given a model for how fast the computers are being infected, dC dt , at a particular time?</strong></p><p></p>",AP,Calculus Ab And Bc,BI3,3
bi-BI_cf26303d,BI1: Change  CHA §§ How is finding the number of visitors to a museum over an interval of time based on information about the rate of entry similar to finding the area of a region between a curve and the x-axis?,<p><strong>Change  CHA §§ How is finding the number of visitors to a museum over an interval of time based on information about the rate of entry similar to finding the area of a region between a curve and the x-axis?</strong></p><p></p>,AP,Calculus Ab And Bc,BI1,1
bi-BI_6b4c6994,BI1: Change  CHA §§ How can we model motion not constrained to a linear path?,<p><strong>Change  CHA §§ How can we model motion not constrained to a linear path?</strong></p><p></p>,AP,Calculus Ab And Bc,BI1,1
bi-BI_2176fc77,BI3: Analysis of Functions  FUN §§ How does the chain rule help us to analyze graphs defined using parametric equations or polar functions?,<p><strong>Analysis of Functions  FUN §§ How does the chain rule help us to analyze graphs defined using parametric equations or polar functions?</strong></p><p></p>,AP,Calculus Ab And Bc,BI3,3
bi-BI_ebfc08ce,BI1: Limits  LIM §§ How can the sum of infinitely many discrete terms be a finite value or represent a continuous function?,<p><strong>Limits  LIM §§ How can the sum of infinitely many discrete terms be a finite value or represent a continuous function?</strong></p><p></p>,AP,Calculus Ab And Bc,BI1,1
bi-BI_18db9637,CHA: CHANGE,<p><strong>CHANGE</strong></p><p>Interactions produce changes in motion.</p>,AP,Physics C Mechanics,CHA,1
bi-BI_30874afb,INT: FORCE INTERACTIONS,<p><strong>FORCE INTERACTIONS</strong></p><p>Forces characterize interactions between objects or systems.</p>,AP,Physics C Mechanics,INT,2
bi-BI_cf98f75a,FLD: FIELDS,<p><strong>FIELDS</strong></p><p>Fields predict and describe interactions.</p>,AP,Physics C Mechanics,FLD,3
bi-BI_efe40e3b,CON: CONSERVATION,<p><strong>CONSERVATION</strong></p><p>Conservation laws constrain interactions. 15 Course Framework V.1 | AP Physics C: Mechanics Course and Exam Description</p>,AP,Physics C Mechanics,CON,4
bi-BI_19eaec63,"BI1: Changes CHA § When descending a hill on your bike, why do you roll faster the farther you go?","<p><strong>Changes CHA § When descending a hill on your bike, why do you roll faster the farther you go?</strong></p><p></p>",AP,Physics C Mechanics,BI1,1
bi-BI_e15d13ec,BI1: Changes,<p><strong>Changes</strong></p><p></p>,AP,Physics C Mechanics,BI1,1
bi-BI_844165e7,BI2: Force Interactions,<p><strong>Force Interactions</strong></p><p></p>,AP,Physics C Mechanics,BI2,2
bi-BI_844165e7,BI2: Force Interactions,<p><strong>Force Interactions</strong></p><p></p>,AP,Physics C Mechanics,BI2,2
bi-BI_23328461,BI4: Conservation CON,<p><strong>Conservation CON</strong></p><p></p>,AP,Physics C Mechanics,BI4,4
bi-BI_4d108846,BI1: Changes CHA,<p><strong>Changes CHA</strong></p><p></p>,AP,Physics C Mechanics,BI1,1
bi-BI_7e504a9e,BI2: Force Interactions INT,<p><strong>Force Interactions INT</strong></p><p></p>,AP,Physics C Mechanics,BI2,2
bi-BI_40fdda99,BI4: Conservation CON §Bullet Why are cannon barrels so much longer and heavier than cannonballs?,<p><strong>Conservation CON §Bullet Why are cannon barrels so much longer and heavier than cannonballs?</strong></p><p></p>,AP,Physics C Mechanics,BI4,4
bi-BI_844165e7,BI2: Force Interactions,<p><strong>Force Interactions</strong></p><p></p>,AP,Physics C Mechanics,BI2,2
bi-BI_46c161f9,BI4: Conservation  CON §Bullet How can you increase your swing on a swing set without being pushed?,<p><strong>Conservation  CON §Bullet How can you increase your swing on a swing set without being pushed?</strong></p><p></p>,AP,Physics C Mechanics,BI4,4
bi-BI_2e5b9988,BI2: ACT,<p><strong>ACT</strong></p><p>Oscillations 6–14%  AP EXAM WEIGHTING tilde 5 over tilde 10 CLASS PERIODS 91 Course Framework V.1 | AP Physics C: Mechanics Course and Exam Description</p>,AP,Physics C Mechanics,BI2,2
bi-BI_f5aebaff,BI3: Fields  FLD §Bullet How does the moon stay in orbit despite its great distance from the,<p><strong>Fields  FLD §Bullet How does the moon stay in orbit despite its great distance from the</strong></p><p></p>,AP,Physics C Mechanics,BI3,3
bi-BI_c69d10f1,BI4: Conservation CON §Bullet Why is navigation technology dependent on the orbits of Earth’s artificial satellites?,<p><strong>Conservation CON §Bullet Why is navigation technology dependent on the orbits of Earth’s artificial satellites?</strong></p><p></p>,AP,Physics C Mechanics,BI4,4
bi-BI_a3035bbf,MEA: ECONOMIC MEASUREMENTS,"<p><strong>ECONOMIC MEASUREMENTS</strong></p><p>Economists construct measurements to monitor the state of an economy and evaluate its performance over time. Governments, firms, and citizens often use these measurements to help inform policy, business, and personal decisions.</p>",AP,Macroeconomics,MEA,1
bi-BI_78910574,MKT: MARKETS,<p><strong>MARKETS</strong></p><p>Competitive markets bring together buyers and sellers to exchange goods and services for mutual gain. The simple model of supply–demand can be applied in different market contexts.</p>,AP,Macroeconomics,MKT,2
bi-BI_fce74ded,MOD: MACROECONOMIC MODELS,<p><strong>MACROECONOMIC MODELS</strong></p><p>Macroeconomic models are simplified representations that depict basic economic relationships and can be used to predict and explain how those relationships are affected by economic shocks.</p>,AP,Macroeconomics,MOD,3
bi-BI_a14b4e00,POL: MACROECONOMIC POLICIES,"<p><strong>MACROECONOMIC POLICIES</strong></p><p>Government taxation and spending policies and central bank monetary policy can affect an economy’s output, price level, and level of employment, both in the short run and in the long run. Course Framework V.1 | 17 AP Macroeconomics Course and Exam Description</p>",AP,Macroeconomics,POL,4
bi-BI_be5c9d23,BI2: Markets MKT § Why do people and countries trade with one another?,<p><strong>Markets MKT § Why do people and countries trade with one another?</strong></p><p></p>,AP,Macroeconomics,BI2,2
bi-BI_4a667c19,BI3: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI3,3
bi-BI_da6752da,BI2: Markets MKT §Bullet Why do people and countries trade with one another?,<p><strong>Markets MKT §Bullet Why do people and countries trade with one another?</strong></p><p></p>,AP,Macroeconomics,BI2,2
bi-BI_4a667c19,BI3: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI3,3
bi-BI_af60d7ff,BI1: Economic,<p><strong>Economic</strong></p><p></p>,AP,Macroeconomics,BI1,1
bi-BI_4a667c19,BI3: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI3,3
bi-BI_d9a3c431,BI4: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI4,4
bi-BI_af60d7ff,BI1: Economic,<p><strong>Economic</strong></p><p></p>,AP,Macroeconomics,BI1,1
bi-BI_471eec6c,BI2: Markets  MKT§,<p><strong>Markets  MKT§</strong></p><p></p>,AP,Macroeconomics,BI2,2
bi-BI_d9a3c431,BI4: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI4,4
bi-BI_af60d7ff,BI1: Economic,<p><strong>Economic</strong></p><p></p>,AP,Macroeconomics,BI1,1
bi-BI_4a667c19,BI3: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI3,3
bi-BI_d9a3c431,BI4: Macroeconomic,<p><strong>Macroeconomic</strong></p><p></p>,AP,Macroeconomics,BI4,4
bi-BI_af60d7ff,BI1: Economic,<p><strong>Economic</strong></p><p></p>,AP,Macroeconomics,BI1,1
bi-BI_020e604d,BI2: Markets  MKT,<p><strong>Markets  MKT</strong></p><p></p>,AP,Macroeconomics,BI2,2
bi-BI_1ef87a7e,CRD: CREATIVE DEVELOPMENT,"<p><strong>CREATIVE DEVELOPMENT</strong></p><p>When developing computing innovations, developers can use a formal, iterative design process or a less rigid process of experimentation. While using either approach, developers will encounter phases of investigating and reflecting, designing, prototyping, and testing. Additionally,</p>",AP,Computer Science Principles,CRD,1
bi-BI_67d50ba4,DAT: DATA,"<p><strong>DATA</strong></p><p>Data are central to computing innovations because they communicate initial conditions to programs and represent new knowledge. Computers consume data, transform data, and produce new data, allowing users to create new information or knowledge to solve problems through the</p>",AP,Computer Science Principles,DAT,2
bi-BI_4db8148b,AAP: ALGORITHMS AND PROGRAMMING,"<p><strong>ALGORITHMS AND PROGRAMMING</strong></p><p>Programmers integrate algorithms and abstraction to create programs for creative purposes and to solve problems. Using multiple program statements in a specified order, making decisions, and repeating the same process multiple times are the building blocks of programs. Incorporating</p>",AP,Computer Science Principles,AAP,3
bi-BI_2c638387,CSN: COMPUTING SYSTEMS AND NETWORKS,"<p><strong>COMPUTING SYSTEMS AND NETWORKS</strong></p><p>Computer systems and networks are used to transfer data. One of the largest and most commonly used networks is the Internet. Through a series of protocols, the Internet can be used to send and receive information and ideas throughout the world. Transferring and processing information can be</p>",AP,Computer Science Principles,CSN,4
bi-BI_88754466,IOC: IMPACT OF COMPUTING,"<p><strong>IMPACT OF COMPUTING</strong></p><p>Computers and computing have revolutionized our lives. To use computing safely and responsibly, we need to be aware of privacy, security, and ethical issues. As programmers, we need to understand the potential impacts of our programs and be responsible for the consequences.</p>",AP,Computer Science Principles,IOC,5
bi-BI_a8173253,CUL: CULTURE,<p><strong>CULTURE</strong></p><p>Cultural practices or belief systems often affect art and art making.</p>,AP,Art History,CUL,1
bi-BI_1d3ed364,INT: INTERACTIONS WITH OTHER CULTURES,<p><strong>INTERACTIONS WITH OTHER CULTURES</strong></p><p>Interactions with other cultures affect art and art making.</p>,AP,Art History,INT,2
bi-BI_bfcfbbf2,THR: THEORIES AND INTERPRETATIONS,"<p><strong>THEORIES AND INTERPRETATIONS</strong></p><p>Theories and interpretations of art are affected by other disciplines, technology, or the availability of evidence.</p>",AP,Art History,THR,3
bi-BI_749dd9a3,BI4: MATERIALS,"<p><strong>MATERIALS</strong></p><p>Use of and access to materials, processes, and techniques affect art and art making.</p>",AP,Art History,BI4,4
bi-BI_29110afb,PAA: PURPOSE AND AUDIENCE,"<p><strong>PURPOSE AND AUDIENCE</strong></p><p>Purpose, intended audience, or patron often affect art and art making. Course Framework V.1 | 17 AP Art History Course and Exam Description</p>",AP,Art History,PAA,5
bi-BI_58936a69,BI1: Culture CUL § How does the study of art contribute to our greater understanding of cultural practices and belief systems?,<p><strong>Culture CUL § How does the study of art contribute to our greater understanding of cultural practices and belief systems?</strong></p><p></p>,AP,Art History,BI1,1
bi-BI_ddeaa2ec,BI3: Theories and Interpretations of Art  THR § In what ways does the study of global prehistoric art require the contributions of other disciplines? Why?,<p><strong>Theories and Interpretations of Art  THR § In what ways does the study of global prehistoric art require the contributions of other disciplines? Why?</strong></p><p></p>,AP,Art History,BI3,3
bi-BI_93c3112a,"BI4: Materials, Processes, and Techniques MPT § How do the materials and techniques of global prehistoric art shape and define those works?","<p><strong>Materials, Processes, and Techniques MPT § How do the materials and techniques of global prehistoric art shape and define those works?</strong></p><p></p>",AP,Art History,BI4,4
bi-BI_eccc5476,BI1: Culture  CUL §§ How does the study of art contribute to our greater understanding of cultural practices and belief systems?,<p><strong>Culture  CUL §§ How does the study of art contribute to our greater understanding of cultural practices and belief systems?</strong></p><p></p>,AP,Art History,BI1,1
bi-BI_3dcaceb8,BI3: Theories and Interpretations of Art   THR §§ In what ways does the study of global prehistoric art require the contributions of other disciplines? Why?,<p><strong>Theories and Interpretations of Art   THR §§ In what ways does the study of global prehistoric art require the contributions of other disciplines? Why?</strong></p><p></p>,AP,Art History,BI3,3
bi-BI_faa97525,"BI4: Materials, Processes, and Techniques  MPT §§ How do the materials and techniques of global prehistoric art shape and define those works?","<p><strong>Materials, Processes, and Techniques  MPT §§ How do the materials and techniques of global prehistoric art shape and define those works?</strong></p><p></p>",AP,Art History,BI4,4
bi-BI_76c68a4c,BI1: Culture  CUL §§ What can the physical setting of a work of art tell us about what was important to the culture in which it was created?,<p><strong>Culture  CUL §§ What can the physical setting of a work of art tell us about what was important to the culture in which it was created?</strong></p><p></p>,AP,Art History,BI1,1
bi-BI_d6100246,BI5: Purpose and Audience  PAA §§ How does purpose or function influence works of art and express cultural characteristics of societies?,<p><strong>Purpose and Audience  PAA §§ How does purpose or function influence works of art and express cultural characteristics of societies?</strong></p><p></p>,AP,Art History,BI5,5
bi-BI_b72eb2ad,BI1: Culture  CUL §§ How do the cultural values and belief systems of Early,<p><strong>Culture  CUL §§ How do the cultural values and belief systems of Early</strong></p><p></p>,AP,Art History,BI1,1
bi-BI_b502875d,BI2: Interactions with Other,<p><strong>Interactions with Other</strong></p><p></p>,AP,Art History,BI2,2
bi-BI_cf61362d,"BI5: Purpose and Audience  PAA §§ What do the purpose, patron, and intended audience for Early","<p><strong>Purpose and Audience  PAA §§ What do the purpose, patron, and intended audience for Early</strong></p><p></p>",AP,Art History,BI5,5
bi-BI_b502875d,BI2: Interactions with Other,<p><strong>Interactions with Other</strong></p><p></p>,AP,Art History,BI2,2
bi-BI_57ea64e8,"BI4: Materials, Processes, and Techniques  MPT §§ How is art and art making in this period shaped by advances in technology, increased availability of materials, and wider dissemination of techniques?","<p><strong>Materials, Processes, and Techniques  MPT §§ How is art and art making in this period shaped by advances in technology, increased availability of materials, and wider dissemination of techniques?</strong></p><p></p>",AP,Art History,BI4,4
bi-BI_b0c53a21,BI1: Culture  CUL §§ What similarities and differences appear in the art of the Indigenous,<p><strong>Culture  CUL §§ What similarities and differences appear in the art of the Indigenous</strong></p><p></p>,AP,Art History,BI1,1
bi-BI_c4ed93d3,BI5: Purpose and Audience  PAA §§ What do the intended purposes or audiences for the art of the,<p><strong>Purpose and Audience  PAA §§ What do the intended purposes or audiences for the art of the</strong></p><p></p>,AP,Art History,BI5,5
bi-BI_911347e4,BI3: Theories and Interpretations of Art  THR §§ What do the various theories and interpretations of the art of Africa tell us about the different cultures?,<p><strong>Theories and Interpretations of Art  THR §§ What do the various theories and interpretations of the art of Africa tell us about the different cultures?</strong></p><p></p>,AP,Art History,BI3,3
bi-BI_45295866,BI5: Purpose and Audience  PAA §§ How do the purposes and functions of African art compare to the art of other cultures in other time periods and locations? What is the significance of these similarities and differences?,<p><strong>Purpose and Audience  PAA §§ How do the purposes and functions of African art compare to the art of other cultures in other time periods and locations? What is the significance of these similarities and differences?</strong></p><p></p>,AP,Art History,BI5,5
bi-BI_78283069,BI2: Interaction with Other,<p><strong>Interaction with Other</strong></p><p></p>,AP,Art History,BI2,2
bi-BI_a8052a00,"BI4: Materials, Processes, and Techniques  MPT §§ How have the materials, processes, and techniques employed in art making in West and Central Asia influenced art within and across cultures?","<p><strong>Materials, Processes, and Techniques  MPT §§ How have the materials, processes, and techniques employed in art making in West and Central Asia influenced art within and across cultures?</strong></p><p></p>",AP,Art History,BI4,4
bi-BI_76d7b992,"BI1: Culture  CUL §§ How do style and form convey the belief systems and cultural practices of South, East, and Southeast Asian art?","<p><strong>Culture  CUL §§ How do style and form convey the belief systems and cultural practices of South, East, and Southeast Asian art?</strong></p><p></p>",AP,Art History,BI1,1
bi-BI_78283069,BI2: Interaction with Other,<p><strong>Interaction with Other</strong></p><p></p>,AP,Art History,BI2,2
bi-BI_5a4a9d18,"BI4: Materials, Processes, and Techniques  MPT §§ How do the materials, processes, and techniques demonstrate the unique aspects and situations of the cultures of the Pacific?","<p><strong>Materials, Processes, and Techniques  MPT §§ How do the materials, processes, and techniques demonstrate the unique aspects and situations of the cultures of the Pacific?</strong></p><p></p>",AP,Art History,BI4,4
bi-BI_ca826d42,"BI5: Purpose and Audience  PAA §§ How does the purpose, function, or intended audience both define and often constitute an active part of the arts of the Pacific?","<p><strong>Purpose and Audience  PAA §§ How does the purpose, function, or intended audience both define and often constitute an active part of the arts of the Pacific?</strong></p><p></p>",AP,Art History,BI5,5
bi-BI_b502875d,BI2: Interactions with Other,<p><strong>Interactions with Other</strong></p><p></p>,AP,Art History,BI2,2
bi-BI_67b1c0ad,BI3: Theories and Interpretations of Art  THR §§ How does a global culture contribute to theories and interpretations of contemporary art and art making?,<p><strong>Theories and Interpretations of Art  THR §§ How does a global culture contribute to theories and interpretations of contemporary art and art making?</strong></p><p></p>,AP,Art History,BI3,3
bi-BI_4ff35f77,"BI4: Materials, Processes, and Techniques  MPT §§ How have art making and artistic traditions both changed and retained continuities despite the modern materials, processes, and techniques employed by artists?","<p><strong>Materials, Processes, and Techniques  MPT §§ How have art making and artistic traditions both changed and retained continuities despite the modern materials, processes, and techniques employed by artists?</strong></p><p></p>",AP,Art History,BI4,4
bi-BI_6b97f099,MOD: MODULARITY,"<p><strong>MODULARITY</strong></p><p>Incorporating elements of abstraction, by breaking problems down into interacting pieces, each with their own purpose, makes writing complex programs easier. Abstracting simplifies concepts and processes by looking at the big picture rather than being overwhelmed by the details. Modularity</p>",AP,Computer Science A,MOD,1
bi-BI_b75404ca,VAR: VARIABLES,"<p><strong>VARIABLES</strong></p><p>Information used as a basis for reasoning, discussion, or calculation is referred to as data. Programs rely on variables to store data, on data structures to organize multiple values when program complexity increases, and on algorithms to sort, access, and manipulate this data. Variables</p>",AP,Computer Science A,VAR,2
bi-BI_5889ceac,CON: CONTROL,"<p><strong>CONTROL</strong></p><p>Doing things in order, making decisions, and doing the same process multiple times are represented in code by using control structures and specifying the order in which instructions are executed. Programmers need to think algorithmically in order to define and interpret processes that are used in a program.</p>",AP,Computer Science A,CON,3
bi-BI_88754466,IOC: IMPACT OF COMPUTING,"<p><strong>IMPACT OF COMPUTING</strong></p><p>Computers and computing have revolutionized our lives. To use computing safely and responsibly, we need to be aware of privacy, security, and ethical issues. As programmers, we need to understand how our programs will be used and be responsible for the consequences. Course Framework V.1 | 18</p>",AP,Computer Science A,IOC,4
bi-BI_37d7f4b2,BI1: Modularity MOD § How can we use programs to solve problems?,<p><strong>Modularity MOD § How can we use programs to solve problems?</strong></p><p></p>,AP,Computer Science A,BI1,1
bi-BI_b2f66ec8,BI2: Variables VAR § In what ways are numbers used in the programs and apps you use most often?,<p><strong>Variables VAR § In what ways are numbers used in the programs and apps you use most often?</strong></p><p></p>,AP,Computer Science A,BI2,2
bi-BI_db5d98ad,BI3: Control CON § How are mathematical concepts being used in the programs and apps that you use most often?,<p><strong>Control CON § How are mathematical concepts being used in the programs and apps that you use most often?</strong></p><p></p>,AP,Computer Science A,BI3,3
bi-BI_363c4e50,BI1: Modularity  MOD §§ How can we use programs to solve problems?,<p><strong>Modularity  MOD §§ How can we use programs to solve problems?</strong></p><p></p>,AP,Computer Science A,BI1,1
bi-BI_4cae76dc,BI2: Variables  VAR §§ In what ways are numbers used in the programs and apps you use most often?,<p><strong>Variables  VAR §§ In what ways are numbers used in the programs and apps you use most often?</strong></p><p></p>,AP,Computer Science A,BI2,2
bi-BI_ee02fb28,BI3: Control  CON §§ How are mathematical concepts being used in the programs and apps that you use most often?,<p><strong>Control  CON §§ How are mathematical concepts being used in the programs and apps that you use most often?</strong></p><p></p>,AP,Computer Science A,BI3,3
bi-BI_4505905f,BI1: Modularity  MOD §§ How can we simulate election results using existing program code?,<p><strong>Modularity  MOD §§ How can we simulate election results using existing program code?</strong></p><p></p>,AP,Computer Science A,BI1,1
bi-BI_a288a7d4,BI2: Variables  VAR §§ How are appropriate variables chosen to represent a remote control?,<p><strong>Variables  VAR §§ How are appropriate variables chosen to represent a remote control?</strong></p><p></p>,AP,Computer Science A,BI2,2
