uuid,title,body/value,field_framework,field_course,field_code,field_eu_ref,field_big_idea_ref
lo-LO_9bdca5aa,"5.1B: Adhering to established conventions of grammar, usage, style, and mechanics.","<p>Adhering to established conventions of grammar, usage, style, and mechanics.</p>",AP,Research,5.1B,5.1,
lo-LO_9bdca5aa,"5.1B: Adhering to established conventions of grammar, usage, style, and mechanics.","<p>Adhering to established conventions of grammar, usage, style, and mechanics.</p>",AP,Research,5.1B,5.1,
lo-LO_6814645b,5.1C: Communicating information through appropriate media using effective techniques of design.,<p>Communicating information through appropriate media using effective techniques of design.</p>,AP,Research,5.1C,5.1,
lo-LO_c91dd228,"5.1D: Adapting an argument for context, purpose, and/or audience.","<p>Adapting an argument for context, purpose, and/or audience.</p>",AP,Research,5.1D,5.1,
lo-LO_b9884964,5.1E: Engaging an audience by employing effective techniques of delivery or performance.,<p>Engaging an audience by employing effective techniques of delivery or performance.</p>,AP,Research,5.1E,5.1,
lo-LO_b9884964,5.1E: Engaging an audience by employing effective techniques of delivery or performance.,<p>Engaging an audience by employing effective techniques of delivery or performance.</p>,AP,Research,5.1E,5.1,
lo-LO_2e6d2d5a,"5.1F: Defending inquiry choices and final product with clarity, consistency, and conviction.","<p>Defending inquiry choices and final product with clarity, consistency, and conviction.</p>",AP,Research,5.1F,5.1,
lo-LO_5a097648,5.2A: Providing individual contributions to overall collaborative effort to accomplish a task or a goal.,<p>Providing individual contributions to overall collaborative effort to accomplish a task or a goal.</p>,AP,Research,5.2A,5.2,
lo-LO_11d04f67,"5.2B: Fostering constructive team climate, resolving conflicts, and facilitating the contributions of all ...","<p>Fostering constructive team climate, resolving conflicts, and facilitating the contributions of all team members to address complex, open-ended problems.</p>",AP,Research,5.2B,5.2,
lo-LO_77d58f9e,"5.3A: Reflecting on and revising their own writing, thinking, and creative processes.","<p>Reflecting on and revising their own writing, thinking, and creative processes.</p>",AP,Research,5.3A,5.3,
lo-LO_a13245ec,5.3B: Reflecting on experiences of collaborative effort.,<p>Reflecting on experiences of collaborative effort.</p>,AP,Research,5.3B,5.3,
lo-LO_fc662ee9,5.3C: Reflecting on the larger significance of engaging in the overall inquiry process and producing a com...,<p>Reflecting on the larger significance of engaging in the overall inquiry process and producing a completed scholarly work.</p>,AP,Research,5.3C,5.3,
lo-LO_f931aa60,"5.4A: Engaging in peer review to provide constructive responses to one another’s work, appropriate to the ...","<p>Engaging in peer review to provide constructive responses to one another’s work, appropriate to the stage of a project’s development.</p>",AP,Research,5.4A,5.4,
lo-LO_d2d07394,5.4B: Engaging in peer review to receive and consider responses to their work.,<p>Engaging in peer review to receive and consider responses to their work.</p>,AP,Research,5.4B,5.4,
